[SEND_MOUNT]	[7670 -> 7671]	[{'Site1': 1, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7670 -> 7672]	[{'Site1': 2, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7670 -> 7673]	[{'Site1': 3, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7670 -> 7674]	[{'Site1': 4, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7671 -> 7670]	[{'Site1': 0, 'Site2': 1, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7671 -> 7670]	[{'Site1': 5, 'Site2': 1, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7672 -> 7670]	[{'Site1': 0, 'Site2': 0, 'Site3': 1, 'Site4': 0, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7672 -> 7670]	[{'Site1': 7, 'Site2': 1, 'Site3': 1, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7673 -> 7670]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 1, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7673 -> 7670]	[{'Site1': 9, 'Site2': 1, 'Site3': 1, 'Site4': 1, 'Site5': 0}]
[SEND_MOUNT]	[7674 -> 7670]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 1}]
RECEIVED_REQ	[SEND_MOUNT]	[7674 -> 7670]	[{'Site1': 11, 'Site2': 1, 'Site3': 1, 'Site4': 1, 'Site5': 1}]
[RECEIVE_MOUNT]	[7672 -> 7670]	[{'Site1': 2, 'Site2': 0, 'Site3': 6, 'Site4': 0, 'Site5': 0}]
RECEIVED_RES	[RECEIVE_MOUNT]	[7672 -> 7670]	[{'Site1': 13, 'Site2': 1, 'Site3': 6, 'Site4': 1, 'Site5': 1}]
[RECEIVE_MOUNT]	[7672 -> 7670]	[{'Site1': 2, 'Site2': 0, 'Site3': 6, 'Site4': 0, 'Site5': 0}]
[SEND_READ]	[7672 -> 7670]	[{'Site1': 8, 'Site2': 7, 'Site3': 16, 'Site4': 3, 'Site5': 3}]
RECEIVED_REQ	[SEND_READ]	[7672 -> 7670]	[{'Site1': 14, 'Site2': 7, 'Site3': 16, 'Site4': 3, 'Site5': 3}]
[SEND_WRITE]	[7672 -> 7670]	[{'Site1': 15, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
RECEIVED_REQ	[SEND_WRITE]	[7672 -> 7670]	[{'Site1': 16, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
[SEND_WRITE]	[7672 -> 7670]	[{'Site1': 15, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
