[SEND_MOUNT]	[7672 -> 7670]	[{'Site1': 0, 'Site2': 0, 'Site3': 1, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7672 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7672 -> 7673]	[{'Site1': 0, 'Site2': 0, 'Site3': 3, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7672 -> 7674]	[{'Site1': 0, 'Site2': 0, 'Site3': 4, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7670 -> 7672]	[{'Site1': 2, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7670 -> 7672]	[{'Site1': 2, 'Site2': 0, 'Site3': 5, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 2, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7671 -> 7672]	[{'Site1': 2, 'Site2': 2, 'Site3': 7, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7673 -> 7672]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 3, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7673 -> 7672]	[{'Site1': 2, 'Site2': 2, 'Site3': 9, 'Site4': 3, 'Site5': 0}]
[RECEIVE_MOUNT]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 6, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
RECEIVED_RES	[RECEIVE_MOUNT]	[7671 -> 7672]	[{'Site1': 2, 'Site2': 6, 'Site3': 11, 'Site4': 3, 'Site5': 0}]
[RECEIVE_MOUNT]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 6, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
[RECEIVE_MOUNT]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 7, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
RECEIVED_RES	[RECEIVE_MOUNT]	[7671 -> 7672]	[{'Site1': 2, 'Site2': 7, 'Site3': 12, 'Site4': 3, 'Site5': 0}]
[RECEIVE_MOUNT]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 7, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7674 -> 7672]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 3}]
RECEIVED_REQ	[SEND_MOUNT]	[7674 -> 7672]	[{'Site1': 2, 'Site2': 7, 'Site3': 13, 'Site4': 3, 'Site5': 3}]
[RECEIVE_MOUNT]	[7670 -> 7672]	[{'Site1': 8, 'Site2': 1, 'Site3': 1, 'Site4': 0, 'Site5': 0}]
RECEIVED_RES	[RECEIVE_MOUNT]	[7670 -> 7672]	[{'Site1': 8, 'Site2': 7, 'Site3': 15, 'Site4': 3, 'Site5': 3}]
[RECEIVE_MOUNT]	[7670 -> 7672]	[{'Site1': 8, 'Site2': 1, 'Site3': 1, 'Site4': 0, 'Site5': 0}]
[SEND_READ]	[7672 -> 7670]	[{'Site1': 8, 'Site2': 7, 'Site3': 16, 'Site4': 3, 'Site5': 3}]
[RECEIVE_READ]	[7670 -> 7672]	[{'Site1': 15, 'Site2': 7, 'Site3': 16, 'Site4': 3, 'Site5': 3}]
RECEIVED_RES	[RECEIVE_READ]	[7670 -> 7672]	[{'Site1': 15, 'Site2': 7, 'Site3': 17, 'Site4': 3, 'Site5': 3}]
[RECEIVE_READ]	[7670 -> 7672]	[{'Site1': 15, 'Site2': 7, 'Site3': 16, 'Site4': 3, 'Site5': 3}]
[SEND_WRITE]	[7672 -> 7670]	[{'Site1': 15, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
[RECEIVE_WRITE]	[7670 -> 7672]	[{'Site1': 18, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
RECEIVED_RES	[RECEIVE_WRITE]	[7670 -> 7672]	[{'Site1': 18, 'Site2': 7, 'Site3': 19, 'Site4': 3, 'Site5': 3}]
[RECEIVE_WRITE]	[7670 -> 7672]	[{'Site1': 18, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
[RECEIVE_WRITE]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 16, 'Site3': 2, 'Site4': 2, 'Site5': 5}]
RECEIVED_RES	[RECEIVE_WRITE]	[7671 -> 7672]	[{'Site1': 18, 'Site2': 16, 'Site3': 20, 'Site4': 3, 'Site5': 5}]
[RECEIVE_WRITE]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 16, 'Site3': 2, 'Site4': 2, 'Site5': 5}]
