[SEND_MOUNT]	[7673 -> 7670]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 1, 'Site5': 0}]
[SEND_MOUNT]	[7673 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 2, 'Site5': 0}]
[SEND_MOUNT]	[7673 -> 7672]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 3, 'Site5': 0}]
[SEND_MOUNT]	[7673 -> 7674]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 4, 'Site5': 0}]
[SEND_MOUNT]	[7674 -> 7673]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 4}]
RECEIVED_REQ	[SEND_MOUNT]	[7674 -> 7673]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 5, 'Site5': 4}]
[RECEIVE_MOUNT]	[7671 -> 7673]	[{'Site1': 0, 'Site2': 9, 'Site3': 2, 'Site4': 2, 'Site5': 0}]
[RECEIVE_MOUNT]	[7671 -> 7673]	[{'Site1': 0, 'Site2': 10, 'Site3': 2, 'Site4': 2, 'Site5': 0}]
[RECEIVE_MOUNT]	[7672 -> 7673]	[{'Site1': 2, 'Site2': 2, 'Site3': 10, 'Site4': 3, 'Site5': 0}]
[RECEIVE_MOUNT]	[7670 -> 7673]	[{'Site1': 10, 'Site2': 1, 'Site3': 1, 'Site4': 1, 'Site5': 0}]
[RECEIVE_WRITE]	[7670 -> 7673]	[{'Site1': 19, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
[RECEIVE_WRITE]	[7671 -> 7673]	[{'Site1': 0, 'Site2': 17, 'Site3': 2, 'Site4': 2, 'Site5': 5}]
